year,region,area_size,productivity,production_volume
2014,계,23911,6649,1589957
2014,서울,0,0,0
2014,부산,16,7271,1163
2014,대구,120,6089,7307
2014,인천,33,4072,1344
2014,광주,83,6628,5501
2014,대전,4,6628,265
2014,울산,62,5646,3500
2014,경기,217,4080,8853
2014,강원,59,3463,2043
2014,충북,81,4569,3701
2014,충남,724,6628,47988
2014,전북,1654,6710,110980
2014,전남,12080,6319,763335
2014,경북,2602,7193,187158
2014,경남,5294,7237,383139
2014,제주,882,7220,63678
2015,계,18015,6072,1093932
2015,서울,0,0,0
2015,부산,17,6584,1119
2015,대구,63,4328,2727
2015,인천,25,2833,708
2015,광주,93,6603,6140
2015,대전,1,5707,57
2015,울산,36,5167,1860
2015,경기,177,4628,8192
2015,강원,46,4025,1852
2015,충북,117,3467,4057
2015,충남,430,5707,24539
2015,전북,1352,5563,75208
2015,전남,9171,5923,543208
2015,경북,2080,6463,134423
2015,경남,3766,6581,247845
2015,제주,641,6552,41997
2016,계,19896,6528,1298749
2016,서울,0,0,0
2016,부산,21,7445,1564
2016,대구,217,7108,15425
2016,인천,35,6046,2116
2016,광주,43,5700,2451
2016,대전,2,6270,125
2016,울산,19,7445,1415
2016,세종특별자치시,3,6270,188
2016,경기,217,6046,13120
2016,강원,16,6224,996
2016,충북,65,5437,3534
2016,충남,453,6270,28405
2016,전북,912,6508,59351
2016,전남,9521,5981,569472
2016,경북,2057,7117,146390
2016,경남,4749,7434,353063
2016,제주,1566,6458,101134
2017,계,19538,5858,1144493
2017,서울,0,4559,22
2017,부산,10,6082,621
2017,대구,236,8734,20634
2017,인천,32,5569,1803
2017,광주,48,5580,2687
2017,대전,5,5243,255
2017,울산,18,6082,1097
2017,세종특별자치시,2,5243,121
2017,경기,280,4559,12755
2017,강원,33,5911,1962
2017,충북,85,3836,3262
2017,충남,785,5243,41141
2017,전북,1632,6225,101600
2017,전남,9230,5578,514896
2017,경북,2087,5974,124702
2017,경남,3938,6081,239459
2017,제주,1116,6945,77476
2018,계,26425,5756,1520969
2018,서울,0,5502,20
2018,부산,31,4881,1501
2018,대구,263,9368,24662
2018,인천,35,5632,1954
2018,광주,65,5940,3836
2018,대전,5,5570,289
2018,울산,65,6451,4212
2018,세종특별자치시,3,5570,184
2018,경기,509,5502,28031
2018,강원,60,5542,3334
2018,충북,88,5226,4605
2018,충남,1233,5570,68687
2018,전북,2646,6171,163291
2018,전남,11327,4932,558659
2018,경북,3369,6296,212066
2018,경남,5471,6601,361120
2018,제주,1254,6740,84519
2019,계,21777,7322,1594450
2019,서울,0,6540,29
2019,부산,16,6463,1049
2019,대구,311,8426,26244
2019,인천,52,6477,3397
2019,광주,33,6994,2321
2019,대전,4,5547,198
2019,울산,52,5984,3122
2019,세종특별자치시,4,5485,232
2019,경기,493,6545,32282
2019,강원,102,6014,6112
2019,충북,155,4353,6729
2019,충남,944,5500,51922
2019,전북,2373,7957,188857
2019,전남,8467,6873,581958
2019,경북,3309,7471,247231
2019,경남,4330,8170,353752
2019,제주,1130,7875,89017
2020,계,14673,7962,1168227
2020,서울,0,5942,12
2020,부산,13,7788,988
2020,대구,356,8950,31861
2020,인천,24,6595,1563
2020,광주,34,7541,2591
2020,대전,2,6614,119
2020,울산,28,6008,1657
2020,세종특별자치시,5,6614,303
2020,경기,345,5942,20525
2020,강원,76,5864,4455
2020,충북,68,4790,3275
2020,충남,693,6620,45885
2020,전북,1142,7896,90175
2020,전남,5743,7883,452737
2020,경북,2365,8098,191509
2020,경남,2825,8783,248082
2020,제주,955,7594,72489
2021,계,18461,8541,1576756
2021,서울,1,5921,85
2021,부산,26,6173,1581
2021,대구,332,7968,26487
2021,인천,27,7460,2049
2021,광주,42,7347,3120
2021,대전,13,7046,905
2021,울산,31,7016,2159
2021,세종특별자치시,1,7046,104
2021,경기,276,5921,16352
2021,강원,131,6484,8480
2021,충북,106,9094,9673
2021,충남,924,7046,65074
2021,전북,1687,8314,140261
2021,전남,6775,8547,579042
2021,경북,3159,9739,307653
2021,경남,4023,8423,338877
2021,제주,906,8265,74856
